epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,46.3783,1.7721,1.6158,1.6332,0,0,0,0,nan,nan,nan,0.0517753,0.0047753,0.0047753
7,52.7663,1.74459,1.51264,1.54248,0,0,0,0,nan,nan,nan,0.0434634,0.00546344,0.00546344
8,58.625,1.79224,1.56182,1.64666,0,0,0,0,nan,nan,nan,0.0351159,0.00611594,0.00611594
9,64.9198,1.71066,1.36147,1.54261,0,0,0,0,nan,nan,nan,0.0267328,0.0067328,0.0067328
10,70.7842,1.69337,1.30829,1.58556,0,0,0,0,nan,nan,nan,0.018314,0.00731402,0.00731402
11,77.1545,1.6851,1.26279,1.49867,0,0,0,0,nan,nan,nan,0.0098596,0.0078596,0.0078596
12,83.4761,1.64136,1.31005,1.49617,0.35979,0.01667,0.02734,0.00851,3.43254,4.83323,2.65106,0.007822,0.007822,0.007822
13,90.9629,1.59264,1.14858,1.43219,0,0,0,0,nan,nan,nan,0.007624,0.007624,0.007624
14,96.7818,1.65876,1.16562,1.44992,0,0,0,0,3.78667,6.69404,3.2915,0.007426,0.007426,0.007426
15,103.284,1.68619,1.18517,1.51919,0.70184,0.03056,0.02772,0.01392,2.76024,5.52088,2.36738,0.007228,0.007228,0.007228
16,111.711,1.65579,1.22234,1.50435,0.54156,0.20017,0.23074,0.10483,2.44753,2.44974,2.09776,0.00703,0.00703,0.00703
17,118.495,1.56191,1.15268,1.47929,0.06402,0.04104,0.04111,0.01721,3.8004,5.63919,3.40104,0.006832,0.006832,0.006832
18,124.372,1.54474,1.07508,1.43768,0.53237,0.70787,0.66444,0.28949,1.95181,1.74778,1.72047,0.006634,0.006634,0.006634
19,136.447,1.52951,1.00432,1.37356,0.57053,0.58937,0.72624,0.3831,1.64127,2.38202,1.53974,0.006436,0.006436,0.006436
20,143.44,1.52273,1.01453,1.40678,0.72656,0.71559,0.71624,0.36922,1.67538,1.5797,1.56873,0.006238,0.006238,0.006238
21,149.281,1.56906,1.06561,1.50398,0.55278,0.6095,0.53934,0.2619,1.82737,1.71134,1.67377,0.00604,0.00604,0.00604
22,155.751,1.51387,1.02151,1.36707,0.71449,0.60856,0.84247,0.43972,1.60882,2.3672,1.51027,0.005842,0.005842,0.005842
23,167.123,1.52507,1.08153,1.38678,0.87055,0.65945,0.7965,0.44546,1.5061,1.2904,1.42008,0.005644,0.005644,0.005644
24,179.504,1.44763,0.96946,1.36008,0.88163,0.63209,0.81415,0.42738,1.64069,1.15175,1.5133,0.005446,0.005446,0.005446
25,185.381,1.50022,1.01825,1.45108,0.8048,0.89173,0.898,0.52182,1.43897,1.00782,1.37673,0.005248,0.005248,0.005248
26,203.434,1.44008,0.93931,1.30295,0.76431,0.90653,0.9152,0.53721,1.42814,0.89232,1.37583,0.00505,0.00505,0.00505
27,216.389,1.40464,0.88461,1.28011,0.76785,0.87348,0.92288,0.49547,1.52545,0.89802,1.42243,0.004852,0.004852,0.004852
28,222.502,1.47339,0.98885,1.37362,0.76263,0.85816,0.90408,0.48656,1.50435,0.93702,1.40647,0.004654,0.004654,0.004654
29,228.808,1.43693,0.926,1.3655,0.86405,0.88528,0.91382,0.55543,1.40542,0.79364,1.35579,0.004456,0.004456,0.004456
30,239.55,1.39173,0.86251,1.28062,0.73531,0.8905,0.87112,0.51133,1.4954,1.24122,1.37567,0.004258,0.004258,0.004258
31,245.833,1.38507,0.85502,1.29231,0.79279,0.76758,0.83862,0.46895,1.60525,0.98276,1.4325,0.00406,0.00406,0.00406
32,252.553,1.39318,0.86628,1.30115,0.73125,0.77253,0.79802,0.33965,1.97113,1.05063,1.59494,0.003862,0.003862,0.003862
33,258.751,1.38898,0.84134,1.30333,0.82281,0.82036,0.89187,0.497,1.47187,0.81521,1.34306,0.003664,0.003664,0.003664
34,265.029,1.35164,0.82357,1.25565,0.77232,0.84028,0.88546,0.45368,1.70191,0.88879,1.50376,0.003466,0.003466,0.003466
35,271.227,1.37293,0.83115,1.28895,0.88027,0.82836,0.907,0.53127,1.46051,0.79405,1.36401,0.003268,0.003268,0.003268
36,277.508,1.43239,0.84072,1.32329,0.88116,0.89183,0.91806,0.55694,1.39709,0.72009,1.31849,0.00307,0.00307,0.00307
37,284.25,1.38228,0.85665,1.29088,0.92656,0.85922,0.93014,0.56252,1.42303,0.74548,1.32597,0.002872,0.002872,0.002872
38,296.011,1.33621,0.83854,1.3314,0.83994,0.87623,0.92648,0.58027,1.33324,0.76078,1.28148,0.002674,0.002674,0.002674
39,308.269,1.27396,0.74967,1.2548,0.84664,0.88022,0.9203,0.51881,1.48263,0.75483,1.35316,0.002476,0.002476,0.002476
40,314.575,1.31802,0.79744,1.27281,0.86887,0.91739,0.94018,0.5671,1.34897,0.71537,1.2928,0.002278,0.002278,0.002278
41,325.019,1.3237,0.78561,1.30681,0.82629,0.88662,0.90734,0.55017,1.38683,0.73934,1.32257,0.00208,0.00208,0.00208
42,331.112,1.27616,0.72429,1.3218,0.78308,0.91293,0.90131,0.56178,1.34288,0.74696,1.29754,0.001882,0.001882,0.001882
43,337.123,1.23271,0.70973,1.30999,0.82521,0.87582,0.88994,0.55955,1.34415,0.73334,1.29758,0.001684,0.001684,0.001684
44,347.181,1.22557,0.70528,1.27734,0.89234,0.89267,0.91299,0.57642,1.30893,0.67161,1.28721,0.001486,0.001486,0.001486
45,353.104,1.21197,0.6844,1.27275,0.88231,0.89731,0.92234,0.58324,1.31533,0.67553,1.28944,0.001288,0.001288,0.001288
46,364.862,1.27875,0.69054,1.39099,0.8976,0.90841,0.92832,0.59699,1.3092,0.65297,1.28237,0.00109,0.00109,0.00109
47,376.567,1.18493,0.68951,1.23502,0.8738,0.91128,0.92851,0.59308,1.31886,0.64023,1.27882,0.000892,0.000892,0.000892
48,382.765,1.16108,0.66146,1.2421,0.86308,0.90546,0.93206,0.59094,1.27281,0.635,1.24634,0.000694,0.000694,0.000694
49,393.676,1.14888,0.64195,1.21575,0.84695,0.91139,0.9304,0.58963,1.27687,0.63133,1.24764,0.000496,0.000496,0.000496
50,403.08,1.13676,0.63482,1.23037,0.85529,0.91002,0.93659,0.59522,1.29637,0.63202,1.25837,0.000298,0.000298,0.000298
1,12.6612,2.13179,4.0856,1.68932,0.2776,0.08005,0.01872,0.00613,2.40869,inf,2.67348,0.0928,0.0008,0.0008
2,19.2308,2.17873,3.34259,1.88574,0,0,0,0,nan,nan,nan,0.084676,0.00167596,0.00167596
3,25.4182,2.00951,2.3649,1.72308,0,0,0,0,nan,nan,nan,0.0765265,0.00252646,0.00252646
4,31.2718,1.84206,2.01492,1.66809,0,0,0,0,nan,nan,nan,0.0683515,0.0033515,0.0033515
5,37.3791,1.8213,1.83141,1.61646,0,0,0,0,nan,nan,nan,0.0601511,0.00415109,0.00415109
